Region,Country,Year,Age,Gender,Literacy rate
Central and Southern Asia,Bhutan,2017,25-64,female,48.42%
Central and Southern Asia,Bhutan,2017,25-64,male,72.20%
Central and Southern Asia,Bhutan,2017,25-64,total,61.07%
Central and Southern Asia,Bhutan,2017,65+,female,9.41%
Central and Southern Asia,Bhutan,2017,65+,male,35.97%
Central and Southern Asia,Bhutan,2017,65+,total,22.86%
Central and Southern Asia,India,2011,15+,female,59.28%
Central and Southern Asia,India,2011,15+,male,78.88%
Central and Southern Asia,India,2011,15+,total,69.30%
Central and Southern Asia,India,2011,15-24,female,81.85%
Central and Southern Asia,India,2011,15-24,male,90.04%
Central and Southern Asia,India,2011,15-24,total,86.14%
Central and Southern Asia,India,2011,25-64,female,54.00%
Central and Southern Asia,India,2011,25-64,male,76.47%
Central and Southern Asia,India,2011,25-64,total,65.43%
Central and Southern Asia,India,2011,65+,female,26.70%
Central and Southern Asia,India,2011,65+,male,57.18%
Central and Southern Asia,India,2011,65+,total,41.60%
Central and Southern Asia,India,2018,15+,female,65.79%
Central and Southern Asia,India,2018,15+,male,82.37%
Central and Southern Asia,India,2018,15+,total,74.37%
Central and Southern Asia,India,2018,15-24,female,90.17%
Central and Southern Asia,India,2018,15-24,male,92.99%
Central and Southern Asia,India,2018,15-24,total,91.66%
Central and Southern Asia,India,2018,25-64,female,61.73%
Central and Southern Asia,India,2018,25-64,male,80.74%
Central and Southern Asia,India,2018,25-64,total,71.58%
Central and Southern Asia,India,2018,65+,female,30.29%
Central and Southern Asia,India,2018,65+,male,61.67%
Central and Southern Asia,India,2018,65+,total,45.38%
Central and Southern Asia,Iran (Islamic Republic of),2012,15+,female,78.42%
Central and Southern Asia,Iran (Islamic Republic of),2012,15+,male,88.88%
Central and Southern Asia,Iran (Islamic Republic of),2012,15+,total,83.63%
Central and Southern Asia,Iran (Islamic Republic of),2012,15-24,female,97.66%
Central and Southern Asia,Iran (Islamic Republic of),2012,15-24,male,98.33%
Central and Southern Asia,Iran (Islamic Republic of),2012,15-24,total,98.01%
Central and Southern Asia,Iran (Islamic Republic of),2012,25-64,female,78.35%
Central and Southern Asia,Iran (Islamic Republic of),2012,25-64,male,90.17%
Central and Southern Asia,Iran (Islamic Republic of),2012,25-64,total,84.12%
Central and Southern Asia,Iran (Islamic Republic of),2012,65+,female,20.64%
Central and Southern Asia,Iran (Islamic Republic of),2012,65+,male,44.89%
Central and Southern Asia,Iran (Islamic Republic of),2012,65+,total,32.62%
Central and Southern Asia,Iran (Islamic Republic of),2013,15+,female,79.76%
Central and Southern Asia,Iran (Islamic Republic of),2013,15+,male,89.54%
Central and Southern Asia,Iran (Islamic Republic of),2013,15+,total,84.63%
Central and Southern Asia,Iran (Islamic Republic of),2013,15-24,female,97.44%
Central and Southern Asia,Iran (Islamic Republic of),2013,15-24,male,98.11%
Central and Southern Asia,Iran (Islamic Republic of),2013,15-24,total,97.78%
Central and Southern Asia,Iran (Islamic Republic of),2013,25-64,female,80.42%
Central and Southern Asia,Iran (Islamic Republic of),2013,25-64,male,91.25%
Central and Southern Asia,Iran (Islamic Republic of),2013,25-64,total,85.79%
Central and Southern Asia,Iran (Islamic Republic of),2013,65+,female,22.46%
Central and Southern Asia,Iran (Islamic Republic of),2013,65+,male,46.61%
Central and Southern Asia,Iran (Islamic Republic of),2013,65+,total,34.25%
Central and Southern Asia,Iran (Islamic Republic of),2014,15+,female,79.84%
Central and Southern Asia,Iran (Islamic Republic of),2014,15+,male,89.64%
Central and Southern Asia,Iran (Islamic Republic of),2014,15+,total,84.71%
Central and Southern Asia,Iran (Islamic Republic of),2014,15-24,female,97.68%
Central and Southern Asia,Iran (Islamic Republic of),2014,15-24,male,98.19%
Central and Southern Asia,Iran (Islamic Republic of),2014,15-24,total,97.94%
Central and Southern Asia,Iran (Islamic Republic of),2014,25-64,female,80.84%
Central and Southern Asia,Iran (Islamic Republic of),2014,25-64,male,91.41%
Central and Southern Asia,Iran (Islamic Republic of),2014,25-64,total,86.08%
Central and Southern Asia,Iran (Islamic Republic of),2014,65+,female,22.45%
Central and Southern Asia,Iran (Islamic Republic of),2014,65+,male,46.97%
Central and Southern Asia,Iran (Islamic Republic of),2014,65+,total,34.29%
Central and Southern Asia,Iran (Islamic Republic of),2016,15+,female,80.79%
Central and Southern Asia,Iran (Islamic Republic of),2016,15+,male,90.35%
Central and Southern Asia,Iran (Islamic Republic of),2016,15+,total,85.54%
Central and Southern Asia,Iran (Islamic Republic of),2016,15-24,female,97.93%
Central and Southern Asia,Iran (Islamic Republic of),2016,15-24,male,98.27%
Central and Southern Asia,Iran (Islamic Republic of),2016,15-24,total,98.10%
Central and Southern Asia,Iran (Islamic Republic of),2016,25-64,female,82.60%
Central and Southern Asia,Iran (Islamic Republic of),2016,25-64,male,92.26%
Central and Southern Asia,Iran (Islamic Republic of),2016,25-64,total,87.38%
Central and Southern Asia,Iran (Islamic Republic of),2016,65+,female,24.88%
Central and Southern Asia,Iran (Islamic Republic of),2016,65+,male,49.94%
Central and Southern Asia,Iran (Islamic Republic of),2016,65+,total,36.77%
Central and Southern Asia,Kazakhstan,2010,15+,female,99.74%
Central and Southern Asia,Kazakhstan,2010,15+,male,99.83%
Central and Southern Asia,Kazakhstan,2010,15+,total,99.78%
Central and Southern Asia,Kazakhstan,2010,15-24,female,99.85%
Central and Southern Asia,Kazakhstan,2010,15-24,male,99.94%
Central and Southern Asia,Kazakhstan,2010,15-24,total,99.90%
Central and Southern Asia,Kazakhstan,2010,25-64,female,99.75%
Central and Southern Asia,Kazakhstan,2010,25-64,male,99.83%
Central and Southern Asia,Kazakhstan,2010,25-64,total,99.79%
Central and Southern Asia,Kazakhstan,2010,65+,female,99.52%
Central and Southern Asia,Kazakhstan,2010,65+,male,99.45%
Central and Southern Asia,Kazakhstan,2010,65+,total,99.50%
Central and Southern Asia,Kyrgyzstan,2018,15+,female,99.50%
Central and Southern Asia,Kyrgyzstan,2018,15+,male,99.68%
Central and Southern Asia,Kyrgyzstan,2018,15+,total,99.59%
Central and Southern Asia,Kyrgyzstan,2018,15-24,female,99.81%
Central and Southern Asia,Kyrgyzstan,2018,15-24,male,99.69%
Central and Southern Asia,Kyrgyzstan,2018,15-24,total,99.75%
Central and Southern Asia,Kyrgyzstan,2018,25-64,female,99.78%
Central and Southern Asia,Kyrgyzstan,2018,25-64,male,99.75%
Central and Southern Asia,Kyrgyzstan,2018,25-64,total,99.77%
Central and Southern Asia,Kyrgyzstan,2018,65+,female,96.16%
Central and Southern Asia,Kyrgyzstan,2018,65+,male,98.71%
Central and Southern Asia,Kyrgyzstan,2018,65+,total,97.13%
Central and Southern Asia,Maldives,2014,15+,female,98.69%
Central and Southern Asia,Maldives,2014,15+,male,98.52%
Central and Southern Asia,Maldives,2014,15+,total,98.61%
Central and Southern Asia,Maldives,2014,15-24,female,99.44%
Central and Southern Asia,Maldives,2014,15-24,male,99.08%
Central and Southern Asia,Maldives,2014,15-24,total,99.27%
Central and Southern Asia,Maldives,2014,25-64,female,99.01%
Central and Southern Asia,Maldives,2014,25-64,male,98.91%
Central and Southern Asia,Maldives,2014,25-64,total,98.96%
Central and Southern Asia,Maldives,2014,65+,female,92.14%
Central and Southern Asia,Maldives,2014,65+,male,93.32%
Central and Southern Asia,Maldives,2014,65+,total,92.76%
Central and Southern Asia,Maldives,2016,15+,female,98.11%
Central and Southern Asia,Maldives,2016,15+,male,97.30%
Central and Southern Asia,Maldives,2016,15+,total,97.73%
Central and Southern Asia,Maldives,2016,15-24,female,99.09%
Central and Southern Asia,Maldives,2016,15-24,male,98.39%
Central and Southern Asia,Maldives,2016,15-24,total,98.75%
Central and Southern Asia,Maldives,2016,25-64,female,98.58%
Central and Southern Asia,Maldives,2016,25-64,male,97.64%
Central and Southern Asia,Maldives,2016,25-64,total,98.15%
Central and Southern Asia,Maldives,2016,65+,female,89.09%
Central and Southern Asia,Maldives,2016,65+,male,91.21%
Central and Southern Asia,Maldives,2016,65+,total,90.23%
Central and Southern Asia,Nepal,2011,15+,female,48.84%
Central and Southern Asia,Nepal,2011,15+,male,71.71%
Central and Southern Asia,Nepal,2011,15+,total,59.63%
Central and Southern Asia,Nepal,2011,15-24,female,80.21%
Central and Southern Asia,Nepal,2011,15-24,male,89.88%
Central and Southern Asia,Nepal,2011,15-24,total,84.76%
Central and Southern Asia,Nepal,2011,25-64,female,38.50%
Central and Southern Asia,Nepal,2011,25-64,male,67.64%
Central and Southern Asia,Nepal,2011,25-64,total,52.17%
Central and Southern Asia,Nepal,2011,65+,female,6.03%
Central and Southern Asia,Nepal,2011,65+,male,35.64%
Central and Southern Asia,Nepal,2011,65+,total,20.78%
Central and Southern Asia,Nepal,2018,15+,female,59.72%
Central and Southern Asia,Nepal,2018,15+,male,78.59%
Central and Southern Asia,Nepal,2018,15+,total,67.91%
Central and Southern Asia,Nepal,2018,15-24,female,90.88%
Central and Southern Asia,Nepal,2018,15-24,male,94.03%
Central and Southern Asia,Nepal,2018,15-24,total,92.39%
Central and Southern Asia,Nepal,2018,25-64,female,51.35%
Central and Southern Asia,Nepal,2018,25-64,male,74.44%
Central and Southern Asia,Nepal,2018,25-64,total,60.71%
Central and Southern Asia,Nepal,2018,65+,female,8.65%
Central and Southern Asia,Nepal,2018,65+,male,41.50%
Central and Southern Asia,Nepal,2018,65+,total,23.63%
Central and Southern Asia,Pakistan,2010,15+,female,41.02%
Central and Southern Asia,Pakistan,2010,15+,male,68.90%
Central and Southern Asia,Pakistan,2010,15+,total,55.38%
Central and Southern Asia,Pakistan,2010,15-24,female,62.30%
Central and Southern Asia,Pakistan,2010,15-24,male,79.50%
Central and Southern Asia,Pakistan,2010,15-24,total,71.26%
Central and Southern Asia,Pakistan,2010,25-64,female,30.99%
Central and Southern Asia,Pakistan,2010,25-64,male,66.11%
Central and Southern Asia,Pakistan,2010,25-64,total,48.68%
Central and Southern Asia,Pakistan,2010,65+,female,23.76%
Central and Southern Asia,Pakistan,2010,65+,male,35.78%
Central and Southern Asia,Pakistan,2010,65+,total,24.85%
Central and Southern Asia,Pakistan,2011,15+,female,41.98%
Central and Southern Asia,Pakistan,2011,15+,male,66.99%
Central and Southern Asia,Pakistan,2011,15+,total,54.74%
Central and Southern Asia,Pakistan,2011,15-24,female,63.14%
Central and Southern Asia,Pakistan,2011,15-24,male,78.04%
Central and Southern Asia,Pakistan,2011,15-24,total,70.77%
Central and Southern Asia,Pakistan,2011,25-64,female,31.91%
Central and Southern Asia,Pakistan,2011,25-64,male,64.11%
Central and Southern Asia,Pakistan,2011,25-64,total,48.03%
Central and Southern Asia,Pakistan,2011,65+,female,9.88%
Central and Southern Asia,Pakistan,2011,65+,male,33.73%
Central and Southern Asia,Pakistan,2011,65+,total,23.98%
Central and Southern Asia,Pakistan,2012,15+,female,43.07%
Central and Southern Asia,Pakistan,2012,15+,male,69.86%
Central and Southern Asia,Pakistan,2012,15+,total,56.76%
Central and Southern Asia,Pakistan,2012,15-24,female,64.47%
Central and Southern Asia,Pakistan,2012,15-24,male,80.29%
Central and Southern Asia,Pakistan,2012,15-24,total,72.58%
Central and Southern Asia,Pakistan,2012,25-64,female,32.67%
Central and Southern Asia,Pakistan,2012,25-64,male,67.07%
Central and Southern Asia,Pakistan,2012,25-64,total,49.95%
Central and Southern Asia,Pakistan,2012,65+,female,9.49%
Central and Southern Asia,Pakistan,2012,65+,male,36.80%
Central and Southern Asia,Pakistan,2012,65+,total,25.50%
Central and Southern Asia,Pakistan,2013,15+,female,41.97%
Central and Southern Asia,Pakistan,2013,15+,male,68.63%
Central and Southern Asia,Pakistan,2013,15+,total,55.59%
Central and Southern Asia,Pakistan,2013,15-24,female,63.44%
Central and Southern Asia,Pakistan,2013,15-24,male,79.40%
Central and Southern Asia,Pakistan,2013,15-24,total,71.64%
Central and Southern Asia,Pakistan,2013,25-64,female,31.70%
Central and Southern Asia,Pakistan,2013,25-64,male,65.79%
Central and Southern Asia,Pakistan,2013,25-64,total,48.79%
Central and Southern Asia,Pakistan,2013,65+,female,9.13%
Central and Southern Asia,Pakistan,2013,65+,male,35.31%
Central and Southern Asia,Pakistan,2013,65+,total,24.51%
Central and Southern Asia,Pakistan,2014,15+,female,44.28%
Central and Southern Asia,Pakistan,2014,15+,male,69.07%
Central and Southern Asia,Pakistan,2014,15+,total,56.98%
Central and Southern Asia,Pakistan,2014,15-24,female,65.55%
Central and Southern Asia,Pakistan,2014,15-24,male,79.77%
Central and Southern Asia,Pakistan,2014,15-24,total,72.80%
Central and Southern Asia,Pakistan,2014,25-64,female,33.77%
Central and Southern Asia,Pakistan,2014,25-64,male,66.25%
Central and Southern Asia,Pakistan,2014,25-64,total,50.18%
Central and Southern Asia,Pakistan,2014,65+,female,9.96%
Central and Southern Asia,Pakistan,2014,65+,male,35.71%
Central and Southern Asia,Pakistan,2014,65+,total,25.29%
Central and Southern Asia,Pakistan,2017,15+,female,46.47%
Central and Southern Asia,Pakistan,2017,15+,male,71.12%
Central and Southern Asia,Pakistan,2017,15+,total,59.13%
Central and Southern Asia,Pakistan,2017,15-24,female,67.54%
Central and Southern Asia,Pakistan,2017,15-24,male,81.26%
Central and Southern Asia,Pakistan,2017,15-24,total,74.53%
Central and Southern Asia,Pakistan,2017,25-64,female,35.74%
Central and Southern Asia,Pakistan,2017,25-64,male,68.39%
Central and Southern Asia,Pakistan,2017,25-64,total,52.34%
Central and Southern Asia,Pakistan,2017,65+,female,10.68%
Central and Southern Asia,Pakistan,2017,65+,male,38.14%
Central and Southern Asia,Pakistan,2017,65+,total,27.06%
Central and Southern Asia,Sri Lanka,2010,15+,female,89.96%
Central and Southern Asia,Sri Lanka,2010,15+,male,92.58%
Central and Southern Asia,Sri Lanka,2010,15+,total,91.18%
Central and Southern Asia,Sri Lanka,2010,15-24,female,98.59%
Central and Southern Asia,Sri Lanka,2010,15-24,male,97.69%
Central and Southern Asia,Sri Lanka,2010,15-24,total,98.16%
Central and Southern Asia,Sri Lanka,2010,25-64,female,90.76%
Central and Southern Asia,Sri Lanka,2010,25-64,male,92.13%
Central and Southern Asia,Sri Lanka,2010,25-64,total,91.40%
Central and Southern Asia,Sri Lanka,2010,65+,female,69.79%
Central and Southern Asia,Sri Lanka,2010,65+,male,85.20%
Central and Southern Asia,Sri Lanka,2010,65+,total,76.70%
Central and Southern Asia,Sri Lanka,2016,15+,female,91.49%
Central and Southern Asia,Sri Lanka,2016,15+,male,93.46%
Central and Southern Asia,Sri Lanka,2016,15+,total,92.39%
Central and Southern Asia,Sri Lanka,2016,15-24,female,98.94%
Central and Southern Asia,Sri Lanka,2016,15-24,male,98.41%
Central and Southern Asia,Sri Lanka,2016,15-24,total,98.69%
Central and Southern Asia,Sri Lanka,2016,25-64,female,92.73%
Central and Southern Asia,Sri Lanka,2016,25-64,male,93.35%
Central and Southern Asia,Sri Lanka,2016,25-64,total,93.01%
Central and Southern Asia,Sri Lanka,2016,65+,female,76.31%
Central and Southern Asia,Sri Lanka,2016,65+,male,86.83%
Central and Southern Asia,Sri Lanka,2016,65+,total,80.97%
Central and Southern Asia,Sri Lanka,2017,15+,female,90.97%
Central and Southern Asia,Sri Lanka,2017,15+,male,92.98%
Central and Southern Asia,Sri Lanka,2017,15+,total,91.90%
Central and Southern Asia,Sri Lanka,2017,15-24,female,99.15%
Central and Southern Asia,Sri Lanka,2017,15-24,male,98.55%
Central and Southern Asia,Sri Lanka,2017,15-24,total,98.86%
Central and Southern Asia,Sri Lanka,2017,25-64,female,92.14%
Central and Southern Asia,Sri Lanka,2017,25-64,male,92.67%
Central and Southern Asia,Sri Lanka,2017,25-64,total,92.38%
Central and Southern Asia,Sri Lanka,2017,65+,female,75.44%
Central and Southern Asia,Sri Lanka,2017,65+,male,86.45%
Central and Southern Asia,Sri Lanka,2017,65+,total,80.32%
Central and Southern Asia,Tajikistan,2014,15+,female,99.70%
Central and Southern Asia,Tajikistan,2014,15+,male,99.82%
Central and Southern Asia,Tajikistan,2014,15+,total,99.80%
Central and Southern Asia,Tajikistan,2014,15-24,female,99.90%
Central and Southern Asia,Tajikistan,2014,15-24,male,99.86%
Central and Southern Asia,Tajikistan,2014,15-24,total,99.90%
Central and Southern Asia,Tajikistan,2014,25-64,female,99.80%
Central and Southern Asia,Tajikistan,2014,25-64,male,99.85%
Central and Southern Asia,Tajikistan,2014,25-64,total,99.80%
Central and Southern Asia,Tajikistan,2014,65+,female,97.10%
Central and Southern Asia,Tajikistan,2014,65+,male,99.20%
Central and Southern Asia,Tajikistan,2014,65+,total,98.10%
Central and Southern Asia,Turkmenistan,2014,15+,female,99.60%
Central and Southern Asia,Turkmenistan,2014,15+,male,99.75%
Central and Southern Asia,Turkmenistan,2014,15+,total,99.70%
Central and Southern Asia,Turkmenistan,2014,15-24,female,99.90%
Central and Southern Asia,Turkmenistan,2014,15-24,male,99.77%
Central and Southern Asia,Turkmenistan,2014,15-24,total,99.80%
Central and Southern Asia,Turkmenistan,2014,25-64,female,99.80%
Central and Southern Asia,Turkmenistan,2014,25-64,male,99.81%
Central and Southern Asia,Turkmenistan,2014,25-64,total,99.80%
Central and Southern Asia,Turkmenistan,2014,65+,female,96.80%
Central and Southern Asia,Turkmenistan,2014,65+,male,98.87%
Central and Southern Asia,Turkmenistan,2014,65+,total,97.60%
Central and Southern Asia,Uzbekistan,2013,15+,female,100.00%
Central and Southern Asia,Uzbekistan,2013,15+,male,99.99%
Central and Southern Asia,Uzbekistan,2013,15+,total,99.99%
Central and Southern Asia,Uzbekistan,2013,15-24,female,100.00%
Central and Southern Asia,Uzbekistan,2013,15-24,male,100.00%
Central and Southern Asia,Uzbekistan,2013,15-24,total,100.00%
Central and Southern Asia,Uzbekistan,2013,25-64,female,100.00%
Central and Southern Asia,Uzbekistan,2013,25-64,male,100.00%
Central and Southern Asia,Uzbekistan,2013,25-64,total,100.00%
Central and Southern Asia,Uzbekistan,2013,65+,female,99.93%
Central and Southern Asia,Uzbekistan,2013,65+,male,99.88%
Central and Southern Asia,Uzbekistan,2013,65+,total,99.91%
Central and Southern Asia,Uzbekistan,2014,15+,female,99.98%
Central and Southern Asia,Uzbekistan,2014,15+,male,99.99%
Central and Southern Asia,Uzbekistan,2014,15+,total,99.98%
Central and Southern Asia,Uzbekistan,2014,15-24,female,100.00%
Central and Southern Asia,Uzbekistan,2014,15-24,male,100.00%
Central and Southern Asia,Uzbekistan,2014,15-24,total,100.00%
Central and Southern Asia,Uzbekistan,2014,25-64,female,100.00%
Central and Southern Asia,Uzbekistan,2014,25-64,male,100.00%
Central and Southern Asia,Uzbekistan,2014,25-64,total,100.00%
Central and Southern Asia,Uzbekistan,2014,65+,female,99.62%
Central and Southern Asia,Uzbekistan,2014,65+,male,99.71%
Central and Southern Asia,Uzbekistan,2014,65+,total,99.66%
Central and Southern Asia,Uzbekistan,2015,15+,female,99.98%
Central and Southern Asia,Uzbekistan,2015,15+,male,99.99%
Central and Southern Asia,Uzbekistan,2015,15+,total,99.98%
Central and Southern Asia,Uzbekistan,2015,15-24,female,100.00%
Central and Southern Asia,Uzbekistan,2015,15-24,male,100.00%
Central and Southern Asia,Uzbekistan,2015,15-24,total,100.00%
Central and Southern Asia,Uzbekistan,2015,25-64,female,100.00%
Central and Southern Asia,Uzbekistan,2015,25-64,male,100.00%
Central and Southern Asia,Uzbekistan,2015,25-64,total,100.00%
Central and Southern Asia,Uzbekistan,2015,65+,female,99.63%
